Country,Sex,Age,Exposure,Deaths,Baseline,Excess,Excess_lp,Excess_up,Baseline_pos,Excess_pos,Excess_pos_lp,Excess_pos_up,Excess_epi,Excess_epi_up,Excess_epi_lp
Belgium,b,15,5756169.931716694,26,31.382166421069524,-5.382166421069523,-44,25,33.92383869999026,2.541672278920743,0,25,0,0,0
Belgium,b,20,5932948.344116364,46,50.144474823496175,-4.144474823496178,-52,33,58.002594659413894,7.858119835917717,1,33,6.424342297466242,11,1
Belgium,b,25,6561925.584399478,57,62.06616140135873,-5.066161401358728,-55.024999999999864,37,69.3670769935043,7.3009155921455715,0,37,0,0,0
Belgium,b,30,6710757.704729535,88,74.5216360495186,13.478363950481388,-42,62,94.37454257715278,19.85290652763417,5,62,18.481553369869722,29,6
Belgium,b,35,6813971.784197779,107,112.49708941879993,-5.497089418799929,-74,54,120.50140629606575,8.004316877265818,0,54,0,0,0
Belgium,b,40,6763503.428392018,153,151.19810480516225,1.8018951948377477,-76.02499999999986,71,164.19914682593765,13.001042020775397,0,71,0,0,0
Belgium,b,45,6913636.127838575,260,237.7724789122855,22.227521087714514,-75,112.02499999999995,268.308594214806,30.536115302520514,1,112.02499999999995,34.46686972378045,54,14
Belgium,b,50,7173616.779388593,478,393.41069084986907,84.58930915013093,-38.04999999999973,203.02499999999995,483.6582073781726,90.24751652830355,7,203.02499999999995,33.575430351559916,59.024999999999956,7
Belgium,b,55,7223116.772991058,785,611.1425630551732,173.8574369448268,21.92500000000041,320,785,173.8574369448268,54.975000000000136,320,121.06059043682833,186,54.975000000000136
Belgium,b,60,6595182.371964493,1139,960.2679372431575,178.7320627568426,-11,363,1158.1815753753522,197.91363813219465,86,363,227.63972801230113,351,99
Belgium,b,65,5686696.721230687,1741,1246.5121099904466,494.48789000955344,279.9500000000003,698,1741,494.48789000955344,301.9500000000003,698,499.3667056438592,660,333.9500000000003
Belgium,b,70,4961004.01933856,2368,1856.56973283881,511.43026716119,242,767,2372.2584117879874,515.6886789491775,326,767,601.6764003250137,827.025,362
Belgium,b,75,3429345.150985039,2930,1929.7120462694907,1000.2879537305095,722,1263.0749999999998,2930,1000.2879537305095,737,1263.0749999999998,1070.3657800127162,1328.05,793.9750000000001
Belgium,b,80,2889162.1831579907,4712,2887.8989092924817,1824.1010907075183,1484,2158.05,4712,1824.1010907075183,1503,2158.05,2141.1389356624036,2581.05,1693.9750000000001
Belgium,b,85,1944521.46157484,6008,3743.967259113282,2264.032740886718,1885.8500000000008,2644,6012.171861522516,2268.204602409234,1934.8500000000008,2644,2735.2421756423414,3275,2199.8250000000007
Belgium,b,90,1091868.626777097,6984,3902.1554919142627,3081.8445080857373,2689.9500000000003,3486.075,6984,3081.8445080857373,2689.9500000000003,3486.075,4437.453642496352,5478.174999999999,3421.850000000001
Belgium,b,All,104203971.80887628,27951,18389.292791413758,9561.707208586242,6666.575000000003,12317.25,28135.25147039015,9745.95867897639,7647.725000000001,12333.25,11931.08348718594,14845.324999999999,8988.550000000003
Belgium,f,0,2767978.4450983657,18,52.918748874184196,-34.918748874184196,-82,0.024999999999955946,52.918748874184196,0,0,3,0,0,0
Belgium,f,5,2913188.6081156996,16,12.593486807159188,3.406513192840813,-20,16,17.597495068107637,5.004008260948451,0,16,0,0,0
Belgium,f,10,2926298.4501180877,13,11.999714740260828,1.0002852597391727,-23,13,15.333347161752465,3.333632421491638,0,13,0,0,0
