"IFRs","Cases","Result","Country"
"Modi3","PrItaly",0.00808367171279807,"Germany"
"Levin_p25","PrItaly",0.0230494215134104,"Germany"
"Levin_m25","PrItaly",0.0138296529080462,"Germany"
"Verity_p25","PrItaly",0.0175214652224825,"Germany"
"Verity_m25","PrItaly",0.0105128791334895,"Germany"
"Salje_p25","PrItaly",0.0148020477630216,"Germany"
"Salje_m25","PrItaly",0.00888122865781296,"Germany"
"Verity_Germany","PrItaly",0.0103974817491777,"Germany"
"Verity_Spain","PrItaly",0.00960733822026774,"Germany"
"Verity_Italy","PrItaly",0.00994830531948451,"Germany"
"Verity_France","PrItaly",0.00940132853438136,"Germany"
"Verity_Sweden","PrItaly",0.0105664956179103,"Germany"
"Verity_China","PrItaly",0.014017172177986,"Germany"
"Verity_Japan","PrItaly",0.00843367822929647,"Germany"
"Verity_Colombia","PrItaly",0.0107719131572179,"Germany"
"Verity_Brazil","PrItaly",0.0107784415143682,"Germany"
"Verity_USA","PrItaly",0.0103167746145481,"Germany"
"Salje_Germany","PrItaly",0.0129147947931469,"Germany"
"Salje_Spain","PrItaly",0.0123132180596501,"Germany"
"Salje_Italy","PrItaly",0.0129209664078824,"Germany"
"Salje_France","PrItaly",0.0118416382104173,"Germany"
"Salje_Sweden","PrItaly",0.0140820032493304,"Germany"
"Salje_China","PrItaly",0.0182970123990896,"Germany"
"Salje_Japan","PrItaly",0.0102306542075241,"Germany"
"Salje_Colombia","PrItaly",0.0132534936387368,"Germany"
"Salje_Brazil","PrItaly",0.0126502994531995,"Germany"
"Salje_USA","PrItaly",0.0126463359612191,"Germany"
"Modi1_Germany","PrItaly",0.00942958434755858,"Germany"
"Modi2_Germany","PrItaly",0.00929358899006542,"Germany"
"Modi3_Germany","PrItaly",0.00837543067021404,"Germany"
"Modi1_Spain","PrItaly",0.00874286486061376,"Germany"
"Modi2_Spain","PrItaly",0.00863457380352949,"Germany"
"Modi3_Spain","PrItaly",0.00776175396468613,"Germany"
"Modi1_Italy","PrItaly",0.00910871438357508,"Germany"
"Modi2_Italy","PrItaly",0.00901367711392257,"Germany"
"Modi3_Italy","PrItaly",0.00808367171279807,"Germany"
"Modi1_France","PrItaly",0.00850186410696428,"Germany"
"Modi2_France","PrItaly",0.00838042803087007,"Germany"
"Modi3_France","PrItaly",0.00755486728240351,"Germany"
"Modi1_Sweden","PrItaly",0.0097565277605013,"Germany"
"Modi2_Sweden","PrItaly",0.00968986660841707,"Germany"
"Modi3_Sweden","PrItaly",0.00865571168711006,"Germany"
"Modi1_China","PrItaly",0.0130913433056433,"Germany"
"Modi2_China","PrItaly",0.0130202785749303,"Germany"
"Modi3_China","PrItaly",0.0116003404945078,"Germany"
"Modi1_Japan","PrItaly",0.00752496078750614,"Germany"
"Modi2_Japan","PrItaly",0.00737364013452173,"Germany"
"Modi3_Japan","PrItaly",0.00668885706981929,"Germany"
"Modi1_Colombia","PrItaly",0.00974808875121004,"Germany"
"Modi2_Colombia","PrItaly",0.00959184873283696,"Germany"
"Modi3_Colombia","PrItaly",0.00865856590242348,"Germany"
"Modi1_Brazil","PrItaly",0.00968205183773111,"Germany"
"Modi2_Brazil","PrItaly",0.00947999354494525,"Germany"
"Modi3_Brazil","PrItaly",0.00860995711328913,"Germany"
"Modi1_USA","PrItaly",0.00929187686030137,"Germany"
"Modi2_USA","PrItaly",0.00914258859301526,"Germany"
"Modi3_USA","PrItaly",0.00826275427498434,"Germany"
"Levin","Levin1",0.0125299213477848,"Spain"
"Verity","Levin1",0.00938100351132539,"Spain"
"Salje","Levin1",0.00804818504096105,"Spain"
"Modi1","Levin1",0.0060500742903022,"Spain"
"Modi2","Levin1",0.00598165016264799,"Spain"
"Modi3","Levin1",0.00536832285462204,"Spain"
"Levin_p25","Levin1",0.015662401684731,"Spain"
"Levin_m25","Levin1",0.00939744101083859,"Spain"
"Verity_p25","Levin1",0.0117262543891567,"Spain"
"Verity_m25","Levin1",0.00703575263349404,"Spain"
"Salje_p25","Levin1",0.0100602313012013,"Spain"
"Salje_m25","Levin1",0.00603613878072079,"Spain"
"Verity_Germany","Levin1",0.00698668858596931,"Spain"
"Verity_Spain","Levin1",0.00647637375899174,"Spain"
"Verity_Italy","Levin1",0.00669638010932271,"Spain"
"Verity_France","Levin1",0.00634754626144698,"Spain"
"Verity_Sweden","Levin1",0.00711947766805734,"Spain"
"Verity_China","Levin1",0.00938100351132539,"Spain"
"Verity_Japan","Levin1",0.0056882744595594,"Spain"
"Verity_Colombia","Levin1",0.00725310811544651,"Spain"
"Verity_Brazil","Levin1",0.00726588001995731,"Spain"
"Verity_USA","Levin1",0.00695513369482589,"Spain"
